traj,pulso,t,lat,lon,p_hPa,theta_K,AOD
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-06 12:00:00,-14.720393900979046,-45.17173014976951,881.2944247990515,303.1919230309492,0.019612626124680076
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-06 11:00:00,-14.73496887366211,-44.88413748680459,885.1145644229707,302.8612604592212,0.01936245160806693
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-06 10:00:00,-14.762139601871162,-44.59819245418937,884.4712508399099,302.85727462598186,0.019553311809298785
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-06 09:00:00,-14.809306295236171,-44.30792366576639,886.1362483936546,302.68854515269913,0.02005398460528735
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-06 08:00:00,-14.873550780126484,-44.01855592318614,893.8109785358018,302.41020550471677,0.020912868018319014
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-06 07:00:00,-14.951080241299813,-43.73437207351004,898.1273746609263,302.1789214199875,0.021920600742596306
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-06 06:00:00,-15.030658015099865,-43.45175736936343,899.386764453164,302.0701346911036,0.023188246986442763
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-06 05:00:00,-15.108430754753876,-43.16791967212565,896.6559818219113,302.12475508656826,0.023779481781131394
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-06 04:00:00,-15.177963389591344,-42.881395185258995,884.2194513681634,302.34036277891045,0.024275562372728293
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-06 03:00:00,-15.272539575325123,-42.56774477189499,871.3564948563304,302.0490262768212,0.024943111529712337
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-06 02:00:00,-15.396061440892211,-42.23722562039912,872.535078951985,301.9537426782173,0.02558864048427768
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-06 01:00:00,-15.517341718068188,-41.94051652677982,874.3610927011166,301.8937478811553,0.02607748382995489
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-06 00:00:00,-15.649875560074765,-41.654363914012826,874.1374009929397,301.8747069766663,0.027133018858237757
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-05 23:00:00,-15.789103794155618,-41.376135816856404,876.1586576360679,302.1016867788179,0.02833854024965986
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-05 22:00:00,-15.91329216723016,-41.11469764544204,875.7732325881138,302.45968602704056,0.02920175550480464
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-05 21:00:00,-16.025006097381482,-40.861798271929615,879.530930163876,302.589365765865,0.029888532794888446
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-05 20:00:00,-16.131320150560395,-40.63378262826272,893.2244332692374,302.45286529569466,0.030343839879206285
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-05 19:00:00,-16.250468930399897,-40.43105577107515,900.2666416606567,302.3308851864121,0.030353734870398913
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-05 18:00:00,-16.393084467877415,-40.22451154636261,898.2828927982249,302.4670252701959,0.029643177744733573
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-05 17:00:00,-16.553758071492734,-40.019780097434925,897.1308922533087,302.2546527901068,0.029785928490547363
2o_11-13mai_2024-05-12_-29.0_-50.0,2o_11-13mai,2024-05-05 16:00:00,-16.715441170347344,-39.822290098334626,902.6235207617536,301.60417741385413,0.03060419165053216
