T_bin,refl39_med,re_proxy_med,celula,metade,quando,n,valido_re,pulso
-60.0,0.029618727654932654,7.542167004584728,C12,inteira,2024-05-01 1900UT,66,1,P1
-55.0,0.021969219065433237,9.808711295128195,C12,inteira,2024-05-01 1900UT,51,1,P1
-50.0,0.03266437446707009,6.972232551739053,C12,inteira,2024-05-01 1900UT,41,1,P1
-45.0,0.04579484273143511,5.694836165243273,C12,inteira,2024-05-01 1900UT,28,1,P1
-70.0,0.030874796475572508,7.2894180883053945,C13,inteira,2024-05-01 1900UT,123,1,P1
-65.0,0.031183092190470305,7.231349068012024,C13,inteira,2024-05-01 1900UT,65,1,P1
-60.0,0.04015630218435174,6.056370384091844,C13,inteira,2024-05-01 1900UT,23,1,P1
-55.0,0.051971691417411536,5.39464174389217,C13,inteira,2024-05-01 1900UT,15,1,P1
-50.0,0.05440309220474526,5.324129571665468,C13,inteira,2024-05-01 1900UT,12,1,P1
-45.0,0.0623021285595391,5.16694772208833,C13,inteira,2024-05-01 1900UT,10,1,P1
-65.0,0.026448116794766843,8.31114629772713,C14,inteira,2024-05-01 1900UT,26,1,P1
-60.0,0.03529903743973443,6.583457786597364,C14,inteira,2024-05-01 1900UT,177,1,P1
-55.0,0.033692437559100424,6.810303031055458,C14,inteira,2024-05-01 1900UT,211,1,P1
-50.0,0.03167091592840297,7.142505334709636,C14,inteira,2024-05-01 1900UT,136,1,P1
-45.0,0.0360167323861464,6.491888403163706,C14,inteira,2024-05-01 1900UT,82,1,P1
-70.0,0.025693332933920524,8.52572575789097,C15,inteira,2024-05-01 1900UT,13,1,P1
-65.0,0.02754860434022206,8.020675111657404,C15,inteira,2024-05-01 1900UT,123,1,P1
-60.0,0.027222435213317003,8.103905365339674,C15,inteira,2024-05-01 1900UT,101,1,P1
-55.0,0.026395639764375967,8.3253027900249,C15,inteira,2024-05-01 1900UT,85,1,P1
-50.0,0.026093436759801886,8.410644505432817,C15,inteira,2024-05-01 1900UT,80,1,P1
-45.0,0.030921518379442434,7.28053221047881,C15,inteira,2024-05-01 1900UT,54,1,P1
-50.0,0.017496664062986892,11.980650051881316,C10,frente,2024-05-01 1900UT,81,1,P1
-45.0,0.016282352409004608,12.72401790157653,C10,frente,2024-05-01 1900UT,126,1,P1
-60.0,0.019596085804829976,10.86023808298686,C10,traseira,2024-05-01 1900UT,5,1,P1
-55.0,0.018161390693717687,11.604479673387388,C10,traseira,2024-05-01 1900UT,59,1,P1
-50.0,0.01664251748969603,12.495635558850124,C10,traseira,2024-05-01 1900UT,72,1,P1
-45.0,0.01531830347454889,13.370153741878456,C10,traseira,2024-05-01 1900UT,50,1,P1
-60.0,0.06033939869733613,5.19651994547946,C16,inteira,2024-05-01 1900UT,48,1,P1
-55.0,0.06706959334192167,5.112148266682514,C16,inteira,2024-05-01 1900UT,210,1,P1
-50.0,0.07274340706998662,5.069896800234203,C16,inteira,2024-05-01 1900UT,548,1,P1
-45.0,0.07602744382047544,5.0531632393702095,C16,inteira,2024-05-01 1900UT,730,1,P1
-70.0,0.03895896983041093,6.167210325891701,C29,frente,2024-05-02 1200UT,17380,1,P1
-65.0,0.035924834821969814,6.502997047700831,C29,frente,2024-05-02 1200UT,14701,1,P1
-60.0,0.034989024847498884,6.624898456430999,C29,frente,2024-05-02 1200UT,8118,1,P1
-55.0,0.038362156236708966,6.226728694745704,C29,frente,2024-05-02 1200UT,3631,1,P1
-50.0,0.04677709485765254,5.608417723205764,C29,frente,2024-05-02 1200UT,2378,1,P1
-45.0,0.05487026635532341,5.309956038751842,C29,frente,2024-05-02 1200UT,2052,1,P1
-70.0,0.03297154385349646,6.922389094077699,C29,traseira,2024-05-02 1200UT,3460,1,P1
-65.0,0.03519241197944484,6.59759022312629,C29,traseira,2024-05-02 1200UT,8149,1,P1
-60.0,0.03708783968162394,6.364167121295907,C29,traseira,2024-05-02 1200UT,14465,1,P1
-55.0,0.03998738833089749,6.071345163175753,C29,traseira,2024-05-02 1200UT,10741,1,P1
-50.0,0.038413658535738596,6.221475038925091,C29,traseira,2024-05-02 1200UT,11458,1,P1
-45.0,0.0333007305339796,6.870370433127913,C29,traseira,2024-05-02 1200UT,8421,1,P1
-55.0,0.044700315675453774,5.723373983270007,C30,inteira,2024-05-02 1200UT,13,1,P1
-50.0,0.049120981317257895,5.500573609874122,C30,inteira,2024-05-02 1200UT,50,1,P1
-45.0,0.05569993368606358,5.289250044563365,C30,inteira,2024-05-02 1200UT,87,1,P1
-70.0,0.025792411972480913,8.496735144478963,C29,frente,2024-05-02 1300UT,805,1,P1
-65.0,0.024721535100437342,8.823130000908414,C29,frente,2024-05-02 1300UT,5386,1,P1
-60.0,0.022621130968008798,9.55444251881296,C29,frente,2024-05-02 1300UT,12804,1,P1
-55.0,0.02523728047062625,8.662297474599741,C29,frente,2024-05-02 1300UT,16057,1,P1
-50.0,0.03025645072510523,7.410481423474142,C29,frente,2024-05-02 1300UT,11970,1,P1
-45.0,0.03704036218021422,6.3695750829646105,C29,frente,2024-05-02 1300UT,8517,1,P1
-70.0,0.02706199272612648,8.145683895455718,C29,traseira,2024-05-02 1300UT,14218,1,P1
-65.0,0.025561425405542966,8.564695366109245,C29,traseira,2024-05-02 1300UT,17788,1,P1
-60.0,0.024901989203450832,8.766068483347828,C29,traseira,2024-05-02 1300UT,9819,1,P1
